"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"São Joaquim","PCH","DRI-PCH","SC","5.82","Lava Tudo","Pelotas","48500.001510/2020-41","875/2020","Rafitec S.A. Indústria e Comércio de Sacarias ","1.213","5/4/2020","7/4/2021","28°5'32""S","50°3'16""W"
"São Joaquim","PCH","DRS-PCH","RJ","12","Muriaé","Paraiba do Sul","48500.006711/2008-49","875/2020","Rodrigo Pedroso Energia Ltda. ","3.421/2016 (Comunicado nº 16/2020)","","","21°19'49,19""S","41°43'46,41""W"
"São Joaquim","PCH","DRS-PCH","RS/SC","25.5","Pelotas","Pelotas","48500.001405/2012-01","875/2020","São Joaquim Energética S.A ","2.077","7/20/2017","7/20/2020","28°27'31,4""S","49°56'15,69""W"
"São Jorge","PCH","DRS-PCH","PR","24","Chopim","Parana, Iguacu","48500.000679/2019-41","875/2020","BE - Empresa de Estudos Energéticos S.A.; Companhia Paranaense de Energia - COPEL; Minas PCH S.A. ,Silea Participações Ltda.","1.533","6/13/2019","6/13/2022","25°45'15""S","52°55'13""W"
"São José","PCH","DRI-PCH","SP","28.2","Pardo","Grande","48500.003392/2020-14","875/2020","CESP – Companhia Energética de São Paulo ","1.861","6/29/2020","8/29/2021","21°33'57""S","46°52'35""W"
"São Luís","PCH","DRS-PCH","PR","30","Chopim","Parana, Iguacu","48500.000757/2013-11","875/2020","Tito Produtora de Energia 
Elétrica SPE Ltda. ","1.218","5/5/2020","12/13/2022","26°14'32,89""S","52°25'30,98""W"
"São Luiz do Tapajós","UHE","Aceito","PA","8040","Tapajós","Tapajos","48500.004334/2009-94","875/2020","Centrais Elétricas Brasileiras - S.A - Eletrobras; Centrais Elétricas do Norte do Brasil S.A. – Eletronorte; Construções e Comércio Camargo Corrêa S.A. - CCCC, Eletricité France S.A. - EDF, CEMIG Geração e Transmissão S.A. - CEMIG GT, COPEL Geração e Transmissão S.A. - COPEL GeT, GDF Suez Energy Latin America Participações Ltda. - GDF SUEZ, Endesa Brasil S.A. - ","1341","5/2/2014","","04°31'40,012""S","56°14'25,997""W"
"São Manoel","PCH","DRS-PCH","PR","30","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003084/2010-17","875/2020","Statkraft Energias Renováveis S.A. ","778","3/19/2019","3/19/2022","25°1'52""S","52°25'38""W"
"São Mateus","PCH","DRS-PCH","SC","30","Lava Tudo","Pelotas","48500.005068/2011-31","875/2020","Msul Energias Renováveis Ltda.; Trix Engenharia Civil Ltda.; ","3.447","12/16/2019","1/11/2023","28°20'5""S","50°16'7""W"
"São Miguel","PCH","DRS-PCH","RS","27","da Várzea","Uruguai, Varzea, Turvo e outros","48500.003840/2016-95","875/2020","PEC Energia S.A. ","556","2/26/2020","11/25/2022","27°23'55,44""S","53°12'19,63""W"
"São Paulo do Pimenta Bueno","PCH","DRI-PCH","RO","14","Pimenta Bueno","Madeira","48500.004216/2018-77","875/2020","Eletrossol Centrais Elétricas Cassol Ltda. ","1.972","8/31/2018","10/31/2019","11°59'18""S","61°12'21""W"
"São Salvador","PCH","DRS-PCH","PR","5.7","Andrada","Parana, Iguacu","48500.005638/2014-36","875/2020","Agathon Participações Ltda. ","325/2016 (Comunicado nº 06/2019)","","","25°7'43,68""S","53°23'56,76""W"
"São Sebastião","PCH","DRI-PCH","MS","23.9","Pardo","Parana, Verde , Peixe, e outros","48500.004718/2019-89","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda; Hacker Industrial Ltda; ","2.309","8/10/2020","10/10/2020","21°4'7""S","53°11'22""W"
"São Sebastião","PCH","DRS-PCH","RJ","17.1","Piabanha","Paraiba do Sul","48500.002913/2018-93","875/2020","Maxxima Energia Ltda. ","1.890","7/1/2020","7/1/2023","22°11'48""S","43°9'34""W"
"São Valentim","PCH","DRS-PCH","RS","21","Carreiro","Taquari","48500.001581/2016-68","875/2020","Enel Brasil S.A. ","2.523","9/1/2020","7/30/2023","29°4'15,2""S","51°42'50,51""W"
"Sapopema","PCH","DRS-PCH","PA","27","Cupari (Braço Oeste)","Tapajos","48500.000815/2013-15","875/2020","CIENGE Engenharia e Comércio Ltda. ","1.377/2017 (Cautelar nº 1936/2019)","","","4°20'40""S","55°23'30""W"
"Saudade","UHE","DRI-UHE","SC","46","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.003655/2020-87 E 48500.004323/2020-10","875/2020","Companhia Energética Entre Rios, Múltipla Participações Ltda, Enebras Projetos de Usinas Hidrelétricas Ltda E CPFL Energias Renováveis S.A.","2.070 (Pub. 20/07/2020) e 2.372  (Pub. 14/08/2020)","","","26°40'31""S","52°36'23""W"
"Segredo","PCH","DRS-PCH","RS","9.2","Turvo","Taquari","48500.000963/2013-21","875/2020","Vale do Turvo Hidrelétrica Ltda. ","3.231","11/26/2019","1/25/2023","28°45'10,776""S","51°26'7,852""W"
"Sepotuba","PCH","DRS-PCH","MT","13.5","Sepotuba","Alto Paraguai","48500.004581/2005-96","875/2020","J. Malucelli Energia S.A. ","3.150/2015 (Comunicado nº 06/2018)","","","14°38'31""S","57°45'2""W"
"Seropédica","PCH","DRS-PCH","RJ","9.998","Guandu","Litoraneas do Rio de Janeiro","48500.001853/2017-19","875/2020","Voltalia Energia do Brasil Ltda. ","3.570","12/18/2019","12/18/2022","22°38'45,64""S","43°42'6,55""W"
"Serra da Piedade","PCH","DRI-PCH","PR","6","Piedade","Ribeira do Iguape","48500.002758/2020-20","875/2020","Liberum Energia Participações Ltda. ","1.596","6/8/2020","8/8/2021","24°54'38,78""S","49°23'18,78""W"
"Serra do Divisor","PCH","DRS-PCH","GO","7.5","Cana Brava","Tocantins, entre os rios Preto e Parana","48500.007836/2008-96","875/2020","Construmil Construtora e Terraplanagem Ltda. ","737","3/21/2017","3/21/2020","14°57'27,21""S","46°46'26,97""W"
"Serrinha","PCH","DRS-PCH","MT","12","Arinos","Tapajos","48500.002024/2011-50","875/2020","Novo Norte Ambiental Energia e Consultoria Ltda ","3.574","12/19/2019","12/19/2022","14°15'45,26""S","55°59'41,61""W"
"Sertãozinho","PCH","DRS-PCH","GO","16","Claro","Alto Paraguai","48500.001127/2002-11","875/2020","Minas PCH S.A. ","1.014","5/9/2018","5/9/2021","17°55'28""S","51°45'4,8""W"
"Sete Cachoeiras","PCH","DRS-PCH","MG","16.5","Santo Antônio","Doce","48500.001644/2007-60","875/2020","Tazem Participações S.A. ","425","3/1/2018","3/1/2021","19°13'19,29""S","42°53'6,21""W"
"Silvânia","PCH","DRS-PCH","TO","5.25","Inferno","Tocantins, entre os rios Preto e Parana","48500.003447/2015-11","875/2020","Agrícola Sete Campos Ltda. ","778","3/19/2020","2/15/2023","11°58'32,869""S","46°26'42,754""W"
"Silveira II","PCH","DRS-PCH","RS","5.1","Silveira","Pelotas","48500.000977/2010-01","875/2020","Silveira II Energética S.A. ","4.219","12/21/2017","12/21/2020","28°32'57,35""S","49°59'36,85""W"
"Simão Tannús","PCH","DRS-PCH","MG","9","Arantes","Grande","48500.006882/2013-35","875/2020","Rio Grande Engenharia e Construções Ltda. ","778","3/19/2020","2/15/2023","19°13'12""S","50°40'28""W"
"Sossego","PCH","DRS-PCH","RJ","17","Grande","Paraiba do Sul","48500.000181/2008-25","875/2020","Statkraft Energias Renováveis S.A. ","778","3/19/2020","2/22/2023","22°2'21,519""S","42°14'33,021""W"
"SU-104","PCH","DRI-PCH","MT","6.95","Saué-Uiná","Tapajos","48500.002435/2020-36","875/2020","Sapezal Energia Ltda ","1.432","5/25/2020","7/25/2021","12°49'36,4""S","58°40'3""W"
"SU-118","PCH","DRI-PCH","MT","8.85","Saué-Uiná","Tapajos","48500.002436/2020-81","875/2020","Sapezal Energia Ltda ","1.433","5/25/2020","7/25/2021","12°53'5,1""S","58°40'59,9""W"
"SU-75","PCH","DRI-PCH","MT","8.65","Saué-Uiná","Tapajos","48500.002433/2020-47","875/2020","Sapezal Energia Ltda ","1.430","5/25/2020","7/25/2021","12°40'46,6""S","58°36'37,9""W"
"SU-93","PCH","DRI-PCH","MT","9.85","Saué-Uiná","Tapajos","48500.002434/2020-91","875/2020","Sapezal Energia Ltda. ","1.431","5/25/2020","7/25/2021","12°47'23,7""S","58°38'33,7""W"
"Subida I","PCH","DRS-PCH","SC","9.8","Itajaí-Açu","Itajai","48500.002049/2017-49","875/2020","Pequena Central Hidrelétrica Subida I SPE Ltda. ","1.004","5/17/2019","5/17/2022","27°5'24,76""S","49°28'18,92""W"
"Sumidouro","PCH","DRS-PCH","MT","13.3","Claro","Tapajos","48500.004685/2003-20","875/2020","EECO Sumidouro Empreendimentos Energéticos do Centro Oeste S.A. ","50/2017 (Cautelar nº 1936/2019)","","","13°51'20,92""S","56°41'14,14""W"
"Tabajara","UHE","Aceito","RO","400","Ji-Paraná","Madeira","48500.002234/2007-63","875/2020","Centrais Elétricas do Norte do Brasil S.A. - Eletronorte; Construtora Queiroz Galvão S.A.,; Furnas Centrais Elétricas S.A. e Enel Brasil S.A., PCE - Projetos e Consultorias de Engenharia Ltda. e JGP Consultoria e Participações Ltda.","232","2/1/2017","","8°54'30""S","62°10'31""W"
"Taboca","PCH","DRS-PCH","GO","5.2","Doce","Paranaiba","48500.000045/2011-31","875/2020","FR Incorporadora Ltda. ","778","3/19/2020","2/6/2023","17°53'55,086""S","51°14'7,189""W"
"Taboca","PCH","DRS-PCH","GO","29.8","Verde","Paranaiba","48500.002575/2011-13","875/2020","Atiaia Energia S.A. ","2.549","8/22/2017","8/22/2020","18°31'28,83""S","51°33'0,41""W"
"Tabocas","PCH","DRS-PCH","GO","14","Meia Ponte","Paranaiba","48500.000976/2011-39","875/2020","Consórcio Artec-Mac ","774","3/19/2020","12/28/2022","18°31'22,25""S","49°36'24,48""W"
"Taboquinha","PCH","DRS-PCH","BA","26.302","de Contas","Contas","48500.003219/2008-11","875/2020","Taboquinha Energia S.A. ","1.144","6/1/2018","6/1/2021","14°20'40""S","39°13'12""W"
"Tapera Jusante","PCH","DRS-PCH","PR","6.5","Tapera","Parana, Iguacu","48500.001965/2015-08","875/2020","NN Participações e Administração Ltda. ","521","2/26/2020","12/15/2022","25°30'45,37""S","52°15'43,15""W"
"Taperão","PCH","DRS-PCH","GO","8.2","Piracanjuba","Paranaiba","48500.002515/2011-09","875/2020","FR Incorporadora Ltda. ","54","1/13/2020","12/20/2022","17°1'47,501""S","48°4'51,316""W"
"Tapirapuã","PCH","DRS-PCH","MT","10.227","Juba","Alto Paraguai","48500.002296/2003-97","875/2020","Tapirapuã Energética S.A. ","3.199/2015 (Comunicado nº 06/2018)","","","14°58'14,81""S","54°23'21""W"
"Taquaral","PCH","DRS-PCH","RS","9.5","Jacuizinho","Alto Jacui","48500.001076/2015-32","875/2020","Taquaral Empreendimentos em Energia Ltda. ","12","1/7/2019","1/8/2022","29°19'17,6""S","53°9'42,5""W"
"Taquarizinho","PCH","DRS-PCH","MT","13","Taquari","Alto Paraguai","48500.004467/2010-02","875/2020","Renova PCH Ltda ","2.998/2016 (Comunicado nº 13/2020","","","18°1'7,03""S","53°32'3,59""W"
"Telêmaco Borba","UHE","Aceito","PR","109","Tibagi","Alto Paraguai","48500.000951/2002-19","875/2020","Promon Engenharia Ltda. ","Ofício nº 339/SPH","4/4/2003","","24°21'5,748""S","50°35'26,619""W"
"Tesouro","PCH","DRS-PCH","MT","19.5","das Garças","Alto Araguaia e rio Claro","48500.005578/2011-17","875/2020","Garças Energias e Participações S.A.; Desa Rio das Garças Desenvolvimento Energético S.A.; ","1.218","5/5/2020","3/31/2023","16°5'58""S","53°33'42""W"
"Tietê","PCH","DRS-PCH","SP","20","Tietê","Parana, Tiete e outros","48500.002670/2009-01","875/2020","Tietê Energética Ltda. ","1.218","5/5/2020","3/3/2023","23°5'15""S","47°40'27""W"
"Tigre Alto","PCH","DRS-PCH","RS","6.85","Lajeado do Tigre","Pelotas","48500.000465/2013-89","875/2020","Pinhal da Serra Geração de Energia S.A. ","2.523","9/1/2020","7/29/2023","27°56'14,62""S","51°7'31,85""W"
"Toco Preto","PCH","DRS-PCH","GO/TO","6.2","Mosquito","Tocantins, entre os rios Preto e Parana","48500.000153/2013-75","875/2020","JA Incorporadora Ltda.; CELG Geração e Transmissão S.A.; ","774","3/19/2020","12/13/2022","12°54'38""S","46°21'43""W"
"Torrão de Ouro","PCH","DRS-PCH","PR","8","Laranjinha","Parana, Paranapanema, Amambai e outros","48500.006030/2008-81","875/2020","GRX Engenharia Ltda. ","774","3/19/2020","12/21/2022","23°14'55""S","50°28'29""W"
"Tote Rezende","PCH","DRS-PCH","MG","6.7","Piuí (ou Piumhi)","Alto Sao Francisco, ate Tres Marias","48500.003651/2012-99","875/2020","Excelência Participações e Empreendimentos Ltda. ","1293","5/12/2017","5/12/2020","20°23'45""S","46°0'0""W"
"Totô","PCH","DRS-PCH","PR","5.17","Alonzo","Parana, Paranapanema, Amambai e outros","48500.002328/2016-21","875/2020","Energética Rio Alonzo Ltda. ","4.027","12/19/2017","12/19/2020","24°8'40,86""S","51°23'46,25""W"
"Travessão","UHE","DRS-UHE","MG","38","Manhuaçú","Doce","48500.004573/2013-21","875/2020","Minas PCH S.A. ","3.098","12/27/2018","12/27/2021","19°29'24,8""S","41°7'54,88""W"
"Travessão do Campo Montante","PCH","DRS-PCH","GO","15","Claro","Alto Araguaia e rio Claro","48500.003321/2014-65","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","2.770","10/10/2019","11/29/2022","16°6'39,48""S","51°4'6,52""W"
"Trindade Baixo Jusante","PCH","DRS-PCH","PR","21","Chopim","Parana, Iguacu","48500.001903/2014-15","875/2020","Minas PCH S.A.; BE-Empresa de Estudos Energéticos S.A.; ","3.275/2016 (Comunicado nº 03)","","","26º17’12’’S","52º17’46’’W"
"Tróia","PCH","DRS-PCH","MG","6.3","Lambari","Alto Sao Francisco, ate Tres Marias","48500.000909/2002-52","875/2020","Luzboa Três S.A ","2.213","7/31/2020","2/11/2023","19°37'3,265""S","45°6'47,497""W"
"Tucano M1","PCH","DRS-PCH","GO","24.6","Verde","Paranaiba","48500.001019/2013-91","875/2020","TPI - Triunfo Participações e Investimentos S.A. ","3.199/2015 (Comunicado nº 06/2018)","","","18°36'22""S","51°24'17""W"
"Tuneira","PCH","DRI-PCH","PR","5.4","São Francisco Falso Braço Norte ou Corvo Branco","Parana, Paranapanema, Amambai e outros","48500.001567/2020-41","875/2020","De Amorim Participações Ltda ","1.252","5/7/2020","7/7/2021","24°54'31,93""S","53°57'29,29""W"
"Tuneiras II","PCH","DRS-PCH","PR","6","Pitanga","Parana, Paranapanema, Amambai e outros","48500.003847/2010-11","875/2020","ITAGUAÇU ENERGIA S.A ","1.832/2016 (Comunicado nº 13)","","","24°43'48,23""S","51°31'56,35""W"
"Turvo 13","PCH","DRS-PCH","RS","9","Turvo","Uruguai, Varzea, Turvo e outros","48500.008372/2008-35","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","1.436","5/21/2020","4/13/2023","27°24'58,737""S","53°50'45,493""W"
"Turvo 14","PCH","DRS-PCH","RS","8","Turvo","Uruguai, Varzea, Turvo e outros","48500.008373/2008-80","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","1.436","5/21/2020","4/18/2023","27°26'46""S","53°50'29""W"
"Turvo 18","PCH","DRS-PCH","RS","11","Turvo","Uruguai, Varzea, Turvo e outros","48500.008419/2008-61","875/2020","Dobrevê Energia S.A. ","1.048","4/20/2017","4/20/2020","27°18'13""S","53°56'8""W"
"Umbu","PCH","DRS-PCH","RS","13","Jaguari","Ibicui","48500.001341/2011-59","875/2020","Hidrotérmica S.A. ","3.363","12/5/2019","12/27/2022","29°19'53""S","54°29'57""W"
"Ursuleta","PCH","DRS-PCH","SC","5.7","Irani","Uruguai, Chapeco,Passo Fundo e outros","48500.003531/2014-53","875/2020","Ecoz Empreendimentos Imobiliários Ltda. ","781","6/1/2020","5/17/2023","26°56'41,41""S","52°15'44,77""W"
"Urtiga","PCH","DRS-PCH","GO","9","Babilônia","Alto Araguaia e rio Claro","48500.000159/2018-57","875/2020","Construtora Central do Brasil S.A. ","945","4/2/2019","4/2/2022","17°21'39,96""S","53°6'10,54""W"
"Uruçuí","UHE","Aceito","PI/MA","134","Parnaíba","Parnaiba","48500.000108/2004-95","875/2020","CHESF - Companhia Hidro Elétrica do São Francisco,; Construtora Queiroz Galvão S.A; CNEC Engenharia S.A.","239","2/5/2007","","07°13'56""S","44°34'09""W"
"Urupema","PCH","DRS-PCH","SC","10.001","Lava Tudo","Pelotas","48500.003415/2018-68","875/2020","Estelar Engenheiros Associados Ltda. ","236","2/6/2020","2/6/2023","28°06'24,18""S","49°52'31,94""W"
"Usina Velha","PCH","DRS-PCH","MT","11","Juba","Alto Paraguai","48500.002287/2003-04","875/2020","Usina Velha Energética S.A. ","3.199/2015 (Comunicado nº 06/2018)","","","14°54'48,31""S","57°48'31,29""W"
"Vacaria","PCH","DRS-PCH","RS","6.3","Refugiado","Taquari","48500.004003/2018-45","875/2020","Energética Quebra Dentes S.A. ","1.682","6/13/2019","6/13/2022","28°42'33""S","51°0'4""W"
"Vale do Leite","PCH","DRS-PCH","RS","6.4","Forqueta","Taquari","48500.008708/2008-60","875/2020","Certel Vale do Leite Geração de Energia S.A. ","1.028","4/10/2019","1/25/2022","29°9'22""S","52°11'10""W"
"Vale Fundo","PCH","DRS-PCH","RS","5.6","Forqueta","Taquari","48500.008707/2008-15","875/2020","Electra Power Geração de Energia S.A.; Geopar - Participações Ltda.; Cooperativa Regional de Desenvolvimento Teutônia - CERTEL","1.027","4/10/2019","1/21/2022","29°7'42""S","52°11'18""W"
"Vãozinho","PCH","DRS-PCH","GO","11","Ribeirão Cachoeirinha","Alto Tocantins e rio Preto","48500.003027/2004-00","875/2020","SPE Vãozinho Energética Ltda ","2.572","9/30/2019","5/25/2022","14°28'53""S","47°49'41""W"
"Veludo","PCH","DRS-PCH","GO/MS","23","Aporé","Paranaiba","48500.000900/2017-70","875/2020","Minas PCH S.A. ","1.026","5/11/2018","5/11/2021","19°15'56,317""S","51°13'55,4""W"
"Verde 11 Alto","UHE","Aceito","GO","48.3","Verde ou Verdão","Paranaiba","48500.003172/2006-62","875/2020","Alupar Investimento S.A. ","2.683","6/28/2011","","17°52'59""S","50°25'22""W"
"Verde 6","PCH","DRS-PCH","MS","8.4","Verde","Parana, Verde , Peixe, e outros","48500.002478/2018-05","875/2020","MSUL Energias Renováveis Ltda. ","1.911","7/1/2020","7/1/2023","19°22'16,23""S","53°34'31,69""W"
"Verdinho 01 Alto","PCH","DRS-PCH","GO","19.5","Verdinho","Paranaiba","48500.003236/2006-43","875/2020","Geos Geologia para Mineração Ltda. ","1.276","5/11/2017","5/11/2020","17°27'43,03""S","50°46'47,44""W"
"Verê","PCH","DRS-PCH","PR","30","Chopim","Parana, Iguacu","48500.000678/2019-04","875/2020","BE - Empresa de Estudos Energéticos S.A.; Companhia Paranaense de Energia - COPEL; Minas PCH S.A. , Silea Participações Ltda.","1532","6/13/2019","6/13/2022","25°47'5""S","52°57'50""W"
"Vila Bonito Alto","PCH","DRS-PCH","MG","17.0019","Suaçuí Grande","Doce","48500.002572/2018-56","875/2020","EBDE Energia S.A. ","588","3/2/2020","3/2/2023","18°23'15,54""S","42°29'21,82""W"
"Vila Jauru","PCH","DRS-PCH","MS","9.55","Jauru","Alto Paraguai","48500.005947/2014-14","875/2020","Juruena Energia S.A. ","675/2016 (Comunicado nº 11/2019)","","","18°38'16,7""S","54°20'54,4""W"
"Vila União","PCH","DRS-PCH","MT","18","das Mortes","Araguaia, trecho da ilha Bananal","48500.000806/2015-88","875/2020","Hidroelétrica Vila União Ltda. ","773","3/19/2020","11/22/2022","15°22'41,43""S","54°24'18,57""W"
"Vilincado","PCH","DRS-PCH","SC","9","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.006596/2014-51","875/2020","Santa Cruz Energia Ltda. ","1.947","7/12/2019","3/30/2022","27°6'4""S","51°20'34""W"
"Vinte Tiros","PCH","DRS-PCH","RS","12","Jaguari","Ibicui","48500.001360/2011-85","875/2020","Hidrotérmica S.A. ","3.362","12/5/2019","12/27/2022","29°12'31,682""S","54°23'18,472""W"
"Violeta","PCH","DRS-PCH","MT","15","Ariranha","Alto Paraguai","48500.001301/2011-15","875/2020","RBO Energia S.A. ","1748","6/27/2019","6/27/2022","17°41'21""S","53°33'57""W"
"Vista Alegre","PCH","DRS-PCH","PR","15.2","Iratim","Parana, Iguacu","48500.004659/2008-96","875/2020","CER - Companhia de Energias Renováveis ","1.178","5/2/2017","5/2/2020","26°14'22,51""S","51°46'20,52""W"
"Volta Grande","PCH","DRS-PCH","GO","24","Meia Ponte","Paranaiba","48500.005839/2010-18","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A.; Alupar Investimento S.A.; ","1.436","5/21/2020","4/21/2023","17°48'14,33""S","49°26'21,26""W"
"Xanxerê","PCH","DRS-PCH","SC","26.8","Chapecozinho","Uruguai, Chapeco,Passo Fundo e outros","48500.001124/2001-34","875/2020","Brookfield Renewable Energy Group ","2.213","7/31/2020","6/9/2023","26°45'46,039""S","52°26'4,338""W"
"Xavier","PCH","DRI-PCH","RJ","5.67","Grande","Paraiba do Sul","48500.003527/2019-08","875/2020","Múltipla Participações Ltda ","2.089","8/1/2019","10/1/2020","22°11'37""S","42°32'48""W"
"Zimlich","PCH","DRS-PCH","SC","12","Itajaí-Açu","Itajai","48500.006173/2005-51","875/2020","Indaial Energia Ltda. ","2.837","9/11/2017","9/11/2020","26°53'5,19""S","49°12'29,994""W"
